"symbol","company","weight","sector","shares_held"
"HLT","Hilton Worldwide Holdings Inc",0.000637930504650751,"Consumer Discretionary",2338040
"TDG","TransDigm Group Incorporated",0.000637770399113984,"Industrials",570152
"COH","Coach Inc.",0.000628584343941996,"Consumer Discretionary",3225612
"FOX","Twenty-First Century Fox Inc. Class B",0.000627903895410738,"Consumer Discretionary",5588770
"LLL","L3 Technologies Inc.",0.000625752477260436,"Industrials",893437
"CMS","CMS Energy Corporation",0.000625032002344986,"Utilities",3166729
"HOLX","Hologic Inc.",0.00061828755660869,"Health Care",3212676
"NBL","Noble Energy Inc.",0.00061444502372629,"Energy",5222677
"LB","L Brands Inc.",0.000613774581791079,"Consumer Discretionary",2751956
"FE","FirstEnergy Corp.",0.00061218353301946,"Utilities",5075679
"L","Loews Corporation",0.000609841989544248,"Financials",3158524
"VRSK","Verisk Analytics Inc",0.000601806692917771,"Industrials",1751469
"NLSN","Nielsen Holdings Plc",0.000597794047902556,"Industrials",3825124
"CTXS","Citrix Systems Inc.",0.000597683975346029,"Information Technology",1759769
"FTI","TechnipFMC Plc",0.000597283711504112,"Energy",5362002
"CMA","Comerica Incorporated",0.000596132952958602,"Financials",2016791
"MAS","Masco Corporation",0.000595972847421835,"Industrials",3671327
"STX","Seagate Technology PLC",0.000595932821037643,"Information Technology",3347607
"HAS","Hasbro Inc.",0.000592080281559195,"Consumer Discretionary",1268150
"FAST","Fastenal Company",0.000586336495427691,"Industrials",3278324
"MAA","Mid-America Apartment Communities Inc.",0.00058595624477787,"Real Estate",1286408
"DOV","Dover Corporation",0.000585025631345414,"Industrials",1786103
"TXT","Textron Inc.",0.000584135044297149,"Industrials",3058424
"EMN","Eastman Chemical Company",0.000583594688110562,"Materials",1685955
"CMG","Chipotle Mexican Grill Inc.",0.000575189147430312,"Consumer Discretionary",331990
"VIAB","Viacom Inc. Class B",0.000575189147430312,"Consumer Discretionary",4041896
"NOV","National Oilwell Varco Inc.",0.000573157808432585,"Energy",4342085
"CNP","CenterPoint Energy Inc.",0.000568965044688507,"Utilities",4861948
"COO","Cooper Companies Inc.",0.000568764912767549,"Health Care",553764
"XL","XL Group Ltd",0.000556977142623103,"Financials",3075418
"ALB","Albemarle Corporation",0.000554605579359747,"Materials",1267860
"KMX","CarMax Inc.",0.000552063903963576,"Consumer Discretionary",2144338
"ALGN","Align Technology Inc.",0.000551793725870282,"Health Care",861640
"DHI","D.R. Horton Inc.",0.000548371470021894,"Consumer Discretionary",3879654
"MKC","McCormick & Company Incorporated",0.000545009253749794,"Consumer Staples",1303359
"IT","Gartner Inc.",0.000544608989907878,"Information Technology",1052912
"COG","Cabot Oil & Gas Corporation",0.000539565665499727,"Energy",5447804
"ARNC","Arconic Inc.",0.000538875210372421,"Industrials",5057360
"ALK","Alaska Air Group Inc.",0.000534162103633852,"Industrials",1397313
"SNPS","Synopsys Inc.",0.000532801206571336,"Information Technology",1717452
"WYNN","Wynn Resorts Limited",0.000529859267333248,"Consumer Discretionary",918197
"CTAS","Cintas Corporation",0.000529428983703188,"Industrials",980612
"DRI","Darden Restaurants Inc.",0.000528068086640671,"Consumer Discretionary",1426517
"HES","Hess Corporation",0.000526557090637435,"Energy",3048647
"CA","CA Inc.",0.000524445698871325,"Information Technology",3593668
"WYN","Wyndham Worldwide Corporation",0.000523935362472881,"Consumer Discretionary",1203146
"PNR","Pentair plc",0.000523284933729767,"Industrials",1911147
"KSU","Kansas City Southern",0.000520793291313835,"Industrials",1225527
"ARE","Alexandria Real Estate Equities Inc.",0.000520603165988925,"Real Estate",1034716
"SLG","SL Green Realty Corp.",0.000520353001087727,"Real Estate",1168182
"AMD","Advanced Micro Devices Inc.",0.000520112842782577,"Information Technology",8798092
